question,distractor3,distractor1,distractor2,correct_answer,support
What is the formula for work done by a constant force?,W = Fd²,W = Fd sin θ,W = F/d,W = Fd cos θ,"Work is done when a force causes displacement. W = Fd cos θ where F is force, d is displacement, and θ is the angle between force and displacement. When force and displacement are parallel (θ = 0°), W = Fd."
A 50 N force moves an object 4 m in the direction of the force. How much work is done?,46 J,12.5 J,54 J,200 J,"W = Fd cos θ = 50 × 4 × cos 0° = 50 × 4 × 1 = 200 J. Since force and displacement are in the same direction, θ = 0° and cos 0° = 1, simplifying to W = Fd."
What is the SI unit of power?,Pascal,Joule,Newton,Watt,"Power is the rate of doing work (P = W/t). The SI unit is the watt (W), where 1 W = 1 J/s. It is named after James Watt. One horsepower ≈ 746 W is a common non-SI unit of power."
Kinetic energy depends on:,Weight and time,Mass and height,Force and distance,Mass and velocity,"Kinetic energy KE = ½mv², where m is mass and v is velocity. It increases with the square of velocity — doubling speed quadruples kinetic energy. This is why high-speed collisions are so much more damaging than low-speed ones."
A 2 kg ball at rest falls 5 m. What is its kinetic energy just before hitting the ground? (g = 10 m/s²),200 J,50 J,10 J,100 J,"Using energy conservation: KE gained = PE lost = mgh = 2 × 10 × 5 = 100 J. Alternatively, find v² = 2gh = 2 × 10 × 5 = 100, then KE = ½mv² = ½ × 2 × 100 = 100 J."
What is gravitational potential energy?,Kinetic energy at the top of a hill,Energy of motion due to gravity,The work done against friction on a slope,Energy stored due to an object's position in a gravitational field,"Gravitational PE = mgh, where m is mass, g is gravitational field strength, and h is height above a reference level. It represents stored energy that can be converted to kinetic energy as the object falls."
The work-energy theorem states that:,Work equals force times time,Work done equals change in potential energy,Total energy is always conserved,Net work done equals change in kinetic energy,The work-energy theorem: W_net = ΔKE = ½mv_f² - ½mv_i². The net work done by all forces on an object equals its change in kinetic energy. This is derived directly from Newton's second law combined with kinematics.
Which type of energy is possessed by a compressed spring?,Thermal energy,Kinetic energy,Gravitational potential energy,Elastic potential energy,"A compressed or stretched spring stores elastic potential energy: PE = ½kx², where k is the spring constant and x is the displacement from equilibrium. This energy converts to kinetic energy when the spring is released."
A machine does 600 J of work in 30 seconds. What is its power output?,2 W,18000 W,570 W,20 W,Power P = Work/Time = 600/30 = 20 W. Power measures how quickly energy is transferred or work is done. A machine with higher power can do the same amount of work in less time.
In an inelastic collision:,Kinetic energy is conserved but momentum is not,Both kinetic energy and momentum are conserved,Neither kinetic energy nor momentum is conserved,Kinetic energy is not conserved but momentum is,"In all collisions, momentum is conserved (no external forces). In inelastic collisions, kinetic energy is lost to heat, sound, or deformation. In perfectly inelastic collisions, objects stick together and maximum kinetic energy is lost."
Power can also be expressed as:,Energy × time,Force × displacement,Mass × acceleration × time,Force × velocity,"Since P = W/t and W = Fd, we get P = Fd/t = F × (d/t) = F × v. This form P = Fv is useful when force and velocity are known directly, such as for a car engine driving at constant speed against air resistance."
What is the efficiency of a machine that outputs 80 J for every 100 J of input?,180%,20%,125%,80%,"Efficiency = (useful energy output / total energy input) × 100% = (80/100) × 100% = 80%. Efficiency is always less than 100% because some energy is always lost to heat, friction, or other forms in real machines."
What is the formula for momentum?,p = ma,p = Ft,p = ½mv²,p = mv,"Momentum p = mv, where m is mass (kg) and v is velocity (m/s). The SI unit is kg·m/s or N·s. Momentum is a vector quantity with the same direction as velocity. It measures the 'quantity of motion' an object possesses."
The law of conservation of momentum applies when:,Kinetic energy is constant,All collisions are elastic,Objects have equal masses,No external force acts on the system,Momentum is conserved in an isolated system where no net external force acts. Internal forces (forces between objects within the system) cancel in pairs by Newton's third law. External forces (like friction or gravity from outside) change total momentum.
Impulse is defined as:,Work done per unit time,Mass multiplied by acceleration,Change in kinetic energy,Force multiplied by time,"Impulse J = Ft = Δp (change in momentum). The impulse-momentum theorem states that the impulse on an object equals its change in momentum. Airbags work by increasing collision time, reducing force for the same impulse."
A 1000 kg car moving at 20 m/s collides with a stationary 1000 kg car and they stick together. What is their combined velocity?,40 m/s,20 m/s,5 m/s,10 m/s,"Conservation of momentum: m₁v₁ + m₂v₂ = (m₁ + m₂)v_f. So 1000×20 + 0 = 2000×v_f, giving v_f = 10 m/s. Since they stick together this is a perfectly inelastic collision with maximum kinetic energy loss."
"In an elastic collision, which quantities are conserved?",Momentum and total energy but not kinetic energy,Only momentum,Only kinetic energy,Both momentum and kinetic energy,Elastic collisions conserve both momentum and kinetic energy. They occur approximately in collisions between hard objects like billiard balls or at the atomic scale between gas molecules. Real macroscopic collisions are always slightly inelastic.
What is the rotational equivalent of force?,Angular momentum,Angular velocity,Moment of inertia,Torque,Torque τ = r × F is the rotational equivalent of force. It measures the tendency of a force to cause rotation about an axis. Torque depends on both the magnitude of the force and its perpendicular distance (lever arm) from the axis.
The moment of inertia depends on:,The applied torque,Only the total mass,Only the angular velocity,Mass distribution relative to the rotation axis,"Moment of inertia I = Σmr² depends on how mass is distributed relative to the rotation axis. Mass farther from the axis contributes more. For example, a hollow cylinder has greater I than a solid cylinder of the same mass and radius."
Angular momentum is conserved when:,Kinetic energy is constant,No external force acts,The object moves at constant angular velocity,No external torque acts on the system,"Angular momentum L = Iω is conserved when no net external torque acts. A spinning figure skater pulls in arms to reduce I, causing ω to increase, conserving L. This is analogous to linear momentum conservation with no external force."
A spinning top maintains its orientation due to:,Newton's third law,Conservation of energy,Centripetal force,Gyroscopic effect,"The gyroscopic effect arises from conservation of angular momentum. The spinning top has angular momentum along its spin axis, and any torque (gravity) causes precession rather than toppling. This also stabilises spinning bullets, frisbees, and gyroscopes."
"Which has greater rotational kinetic energy: a solid sphere or hollow sphere of same mass, radius, rolling at same speed?",It depends on the material,Solid sphere,Both are equal,Hollow sphere,"Rotational KE = ½Iω². For a solid sphere I = 2/5 mr², for a hollow sphere I = 2/3 mr². Same mass and radius means hollow sphere has larger I. At same rolling speed ω is the same, so hollow sphere has greater rotational KE."
What is the value of the universal gravitational constant G?,3.0 × 10⁸ m/s²,9.8 m/s²,6.67 × 10¹¹ N·m²/kg²,6.67 × 10⁻¹¹ N·m²/kg²,"G = 6.67 × 10⁻¹¹ N·m²/kg² is the universal gravitational constant, first measured by Henry Cavendish in 1798. It appears in Newton's law of gravitation F = Gm₁m₂/r² and is extremely small, reflecting how weak gravity is compared to other forces."
Escape velocity from Earth is approximately:,1.67 km/s,9.8 km/s,3.0 × 10⁵ km/s,11.2 km/s,"Escape velocity is the minimum speed needed to escape Earth's gravity without further propulsion: v_esc = √(2GM/R) ≈ 11.2 km/s. Below this speed, a projectile returns to Earth. The Moon's escape velocity is about 2.4 km/s due to its smaller mass."
Geostationary satellites orbit at a fixed position relative to Earth because:,They travel at the speed of light,They orbit above the atmosphere,Gravity is zero at their altitude,Their orbital period equals Earth's rotation period (24 hours),"A geostationary satellite has an orbital period of exactly 24 hours, matching Earth's rotation. It must orbit in the equatorial plane at about 35,786 km altitude. This makes it appear stationary to observers on Earth, ideal for telecommunications and weather satellites."
"According to Kepler's third law, the square of a planet's orbital period is proportional to:",The gravitational constant,Its mass,The square of its distance,The cube of its semi-major axis,"Kepler's third law: T² ∝ a³, where T is the orbital period and a is the semi-major axis. For our solar system T²/a³ = constant for all planets. This law was later derived from Newton's law of gravitation."
What is absolute zero on the Celsius scale?,-373.15°C,0°C,-100°C,-273.15°C,"Absolute zero (0 K) is the theoretical lowest possible temperature where molecular motion effectively stops. It equals -273.15°C. The Kelvin scale uses absolute zero as its zero point, so T(K) = T(°C) + 273.15."
Which law states that the internal energy of an isolated system is constant?,Law of conservation of momentum,Second law of thermodynamics,Zeroth law of thermodynamics,First law of thermodynamics,"The first law of thermodynamics is the law of energy conservation: ΔU = Q - W, where U is internal energy, Q is heat added, and W is work done by the system. In an isolated system (no Q or W exchange), ΔU = 0 so internal energy is constant."
What does the second law of thermodynamics state about entropy?,Entropy is conserved like energy,Entropy can decrease spontaneously,Entropy is always zero at equilibrium,Entropy of an isolated system always increases or stays constant,"The second law states that the total entropy of an isolated system can never decrease over time. Natural processes are irreversible and move toward greater disorder (higher entropy). This explains why heat flows from hot to cold, not the reverse."
An ideal gas is compressed isothermally. What happens to its pressure?,It becomes zero,It decreases,It remains the same,It increases,"In an isothermal process, temperature T is constant. By Boyle's law (PV = constant at constant T), if volume V decreases during compression, pressure P must increase proportionally. For example, halving the volume doubles the pressure."
What is specific heat capacity?,Heat released per mole of substance,Heat required to melt 1 kg of substance,Total heat content of a substance,Heat required to raise 1 kg of substance by 1 K,"Specific heat capacity c is the energy needed to raise the temperature of 1 kg of a substance by 1 K (or 1°C): Q = mcΔT. Water has a very high specific heat (4186 J/kg·K), which is why oceans moderate Earth's climate."
Which process occurs at constant pressure?,Adiabatic process,Isothermal process,Isochoric process,Isobaric process,"An isobaric process occurs at constant pressure (isobar = equal pressure). In an isobaric process, all the heat added goes into both internal energy increase and work done (W = PΔV). Heating water in an open container at atmospheric pressure is isobaric."
What is latent heat of vaporization?,Heat stored in a gas molecule,Energy needed to raise temperature of 1 kg by 1°C,Energy released when gas condenses,Energy needed to change 1 kg of liquid to gas at constant temperature,"Latent heat of vaporization L is the energy per kilogram needed for the liquid-to-gas phase change at constant temperature: Q = mL. For water at 100°C, L ≈ 2260 kJ/kg. The energy breaks intermolecular bonds without changing temperature."
The efficiency of a Carnot engine operating between temperatures T_H and T_C is:,(T_H - T_C)/T_C,T_C/T_H,1 - T_H/T_C,1 - T_C/T_H,"The Carnot efficiency η = 1 - T_C/T_H is the maximum theoretical efficiency of any heat engine operating between temperatures T_H (hot source) and T_C (cold sink), where temperatures are in Kelvin. No real engine can exceed this efficiency."
Thermal expansion occurs because:,Molecular bonds become stronger when heated,Mass increases with temperature,Density increases with temperature,Molecules vibrate more and push further apart as temperature rises,"When temperature increases, molecules gain kinetic energy and vibrate with greater amplitude. The asymmetry of intermolecular potential energy curves means molecules push further apart on average, causing materials to expand. Most substances expand when heated."
"According to the kinetic theory, temperature of a gas is proportional to:",Total internal energy of the gas,Average speed of its molecules,Number of molecules per unit volume,Average kinetic energy of its molecules,"Temperature T ∝ average translational kinetic energy per molecule: ⟨KE⟩ = 3/2 kT, where k is Boltzmann's constant. Higher temperature means faster-moving molecules. This explains why gases expand, exert greater pressure, and conduct heat when warmer."
"Which gas law states that at constant temperature, pressure and volume are inversely proportional?",Avogadro's law,Charles's law,Gay-Lussac's law,Boyle's law,"Boyle's law: PV = constant (at constant temperature and amount of gas). If pressure doubles, volume halves. It applies to ideal gases and approximately to real gases at moderate conditions. It was discovered by Robert Boyle in 1662."
"Conduction, convection, and radiation are all methods of:",Mechanical energy transfer,Work transfer,Electrical energy transfer,Heat transfer,"Heat can be transferred by conduction (through direct molecular contact in solids), convection (by movement of fluid carrying thermal energy), and radiation (by electromagnetic waves, mainly infrared). All three can occur simultaneously in real situations."
"What is the relationship between wave speed, frequency, and wavelength?",v = f + λ,v = f/λ,v = λ/f,v = fλ,"The wave equation v = fλ links wave speed v (m/s), frequency f (Hz), and wavelength λ (m). If frequency increases and wave speed remains constant, wavelength decreases proportionally. This relationship applies to all types of waves."
What is the frequency of a wave with a period of 0.02 seconds?,500 Hz,0.02 Hz,20 Hz,50 Hz,Frequency f = 1/T = 1/0.02 = 50 Hz. Frequency and period are reciprocals: higher frequency means shorter period. A 50 Hz wave completes 50 full cycles per second.
Transverse waves have oscillations that are:,In all directions simultaneously,Parallel to the direction of wave travel,At 45° to the direction of wave travel,Perpendicular to the direction of wave travel,"In transverse waves (e.g., light, water surface waves, waves on a string), particles oscillate perpendicular to the direction of energy propagation. This allows transverse waves to be polarised. Sound waves are longitudinal (oscillations parallel to travel direction)."
Which type of wave requires a medium to travel?,Radio wave,Electromagnetic wave,Light wave,Mechanical wave,"Mechanical waves (sound, water waves, seismic waves) require a physical medium — solid, liquid, or gas — to propagate through. Electromagnetic waves (light, radio, X-rays) can travel through a vacuum because they are self-sustaining oscillating electric and magnetic fields."
What is the Doppler effect?,Decrease in wave speed with distance,Change in wave amplitude due to absorption,Bending of waves around obstacles,Change in observed frequency due to relative motion between source and observer,"The Doppler effect occurs when a sound or light source moves relative to an observer. When approaching, observed frequency increases (higher pitch); when receding, it decreases. It is used in radar speed guns, medical ultrasound, and measuring the expansion of the universe."
What happens to the wavelength of light when it passes from air into glass?,It doubles,It increases,It remains the same,It decreases,"When light enters a denser medium (glass), it slows down. Since frequency stays constant (determined by the source) and v = fλ, the wavelength decreases proportionally. The wavelength and speed change, but frequency does not change during refraction."
Resonance occurs when the driving frequency equals:,Zero frequency,Half the natural frequency,Double the natural frequency,The natural frequency of the object,"Resonance occurs when an external driving frequency matches an object's natural (resonant) frequency. Energy transfer is maximised, causing large amplitude oscillations. Examples: Tacoma Narrows Bridge collapse, tuning a radio, shattering a glass with sound."
"In a standing wave, nodes are points of:",Maximum pressure variation,Maximum amplitude,Maximum velocity,Zero amplitude (no displacement),Nodes are fixed points in a standing wave with zero displacement at all times. They result from destructive interference between the incident and reflected waves. Antinodes between nodes have maximum amplitude. The number and position of nodes determines the harmonic.
What is the speed of sound in air at room temperature (approximately)?,1 m/s,3 × 10⁸ m/s,1500 m/s,343 m/s,Sound travels at approximately 343 m/s in air at 20°C (room temperature). Speed increases with temperature: v ≈ 331 + 0.6T m/s where T is in °C. Sound travels faster in liquids (1500 m/s in water) and even faster in solids.
Diffraction is most significant when the wavelength of a wave is:,Greater than the wave frequency,Much smaller than the obstacle size,Equal to the wave speed,Similar to or larger than the obstacle or gap size,"Diffraction (bending of waves around obstacles or through gaps) is most pronounced when λ ≈ gap size or λ > gap size. This is why low-frequency sound (long wavelength) diffracts around corners easily, while high-frequency sound is more directional."
The pitch of a sound is determined by its:,Speed,Amplitude,Wavelength in air,Frequency,"Pitch is the perceptual quality of sound corresponding to frequency. Higher frequency produces higher pitch. Amplitude determines loudness (volume), not pitch. The human ear can detect frequencies from about 20 Hz to 20,000 Hz."
What is Ohm's law?,P = IV²,V = I/R,V = I²R,V = IR,Ohm's law states that the voltage V across a conductor equals the current I through it multiplied by its resistance R: V = IR. This applies to ohmic conductors at constant temperature. It was formulated by Georg Simon Ohm in 1827.
Electric current is defined as:,Potential difference per unit resistance,Rate of flow of electrons only,Work done per unit charge,Rate of flow of electric charge,"Current I = ΔQ/Δt, where Q is charge (coulombs) and t is time (seconds). The SI unit is the ampere (A). Conventional current flows from positive to negative terminal, opposite to actual electron flow. 1 A = 1 C/s."
What is the equivalent resistance of three 6 Ω resistors in parallel?,6 Ω,18 Ω,3 Ω,2 Ω,"For resistors in parallel: 1/R_eq = 1/R₁ + 1/R₂ + 1/R₃ = 1/6 + 1/6 + 1/6 = 3/6 = 1/2. So R_eq = 2 Ω. Parallel resistance is always less than the smallest individual resistance, as multiple paths reduce overall resistance."
Which material is a semiconductor?,Glass,Copper,Rubber,Silicon,"Silicon is a semiconductor with conductivity between conductors and insulators. Its conductivity can be controlled by temperature, doping, or light. Semiconductors are fundamental to modern electronics — transistors, diodes, and integrated circuits are made from silicon and similar materials."
Electric potential difference (voltage) is defined as:,Power delivered per unit current,Charge per unit area,Current per unit resistance,Work done per unit charge to move charge between two points,"Voltage V = W/Q, where W is work done (joules) and Q is charge (coulombs). The SI unit is the volt (V = J/C). It represents the energy available per unit charge to drive current through a circuit. A battery maintains a potential difference between its terminals."
"In a series circuit, the current:",Depends on each component's resistance,Splits at each junction,Increases through each resistor,Is the same through all components,"In a series circuit there is only one path for current flow, so the same current passes through all components. Voltages add up (V_total = V₁ + V₂ + ...) while resistances add (R_total = R₁ + R₂ + ...). If one component fails, the circuit breaks."
What is the power dissipated in a 10 Ω resistor with a current of 2 A?,0.2 W,20 W,5 W,40 W,Power P = I²R = 2² × 10 = 4 × 10 = 40 W. This power is dissipated as heat. Other useful forms: P = V²/R = IV. The I²R form is most useful when resistance and current are known.
What is the charge on an electron?,1.67 × 10⁻²⁷ C,9.11 × 10⁻³¹ C,+1.6 × 10⁻¹⁹ C,-1.6 × 10⁻¹⁹ C,"The elementary charge e = 1.6 × 10⁻¹⁹ C. The electron carries a charge of -e = -1.6 × 10⁻¹⁹ C. The proton carries +e. This is the smallest unit of free charge observed. 9.11 × 10⁻³¹ kg is the electron's mass, not its charge."
Capacitance is defined as:,Current per unit voltage,Voltage per unit current,Energy per unit charge,Charge stored per unit voltage,"Capacitance C = Q/V, where Q is charge stored (coulombs) and V is voltage (volts). The SI unit is the farad (F). Capacitors store electrical energy in an electric field between two conducting plates. Larger capacitance means more charge stored for the same voltage."
What happens to resistance when temperature increases in a metal conductor?,Resistance becomes zero,Resistance decreases,Resistance remains constant,Resistance increases,"In metals, higher temperature causes atoms to vibrate more vigorously, increasing collisions with conduction electrons and impeding electron flow. This increases resistance. This is why tungsten filaments in bulbs glow: high resistance at high temperature."
Kirchhoff's current law states that:,Power equals current times voltage,Voltage around a loop sums to zero,Resistance is proportional to length,The sum of currents entering a junction equals the sum leaving it,Kirchhoff's current law (KCL) is a statement of conservation of charge: charge cannot accumulate at a node. The algebraic sum of currents at any junction is zero. It is used with Kirchhoff's voltage law to analyse complex circuits.
An electric field points from:,Ground to sky,Low potential to high potential,Negative to positive charges,High potential to low potential,"Electric field E = -dV/dr points in the direction of decreasing electric potential, i.e., from high to low potential. A positive test charge placed in an electric field experiences a force in the direction of the field. The field lines never cross."
What is the SI unit of magnetic flux density?,Henry,Weber,Gauss,Tesla,"Magnetic flux density B is measured in tesla (T), named after Nikola Tesla. 1 T = 1 Wb/m² = 1 kg/(A·s²). Earth's magnetic field is about 25-65 μT. MRI machines use fields of 1.5–3 T. The gauss (10⁻⁴ T) is used in older literature."
Which rule is used to find the force on a current-carrying conductor in a magnetic field?,Right-hand screw rule,Fleming's right-hand rule,Lenz's law,Fleming's left-hand rule,"Fleming's left-hand rule (FBI rule): point the First finger in the field direction (B), second finger in current direction (I), and the thuMb gives the force direction (F). Fleming's right-hand rule is for generators (finding induced EMF direction)."
Faraday's law states that induced EMF is proportional to:,Resistance of the conductor,Magnitude of the magnetic field,Current in the primary coil,Rate of change of magnetic flux,"Faraday's law: EMF = -dΦ/dt, where Φ = BA is magnetic flux. A changing magnetic flux through a coil induces an EMF. The faster the flux changes, the greater the induced EMF. This is the principle behind generators, transformers, and inductors."
Lenz's law states that induced current acts to:,Maximise energy output,Increase the change in flux,Maintain constant current,Oppose the change in flux that caused it,"Lenz's law: induced current creates a magnetic field that opposes the change in flux producing it. It is a consequence of energy conservation — if induced current aided the flux change, energy would be created from nothing. The negative sign in Faraday's law embodies Lenz's law."
A charged particle moving parallel to a magnetic field experiences:,Deceleration,Maximum magnetic force,A force perpendicular to its motion,Zero magnetic force,"The magnetic force on a charge F = qvB sin θ, where θ is the angle between velocity and magnetic field. When v is parallel to B, θ = 0° and sin 0° = 0, so F = 0. Maximum force occurs when motion is perpendicular to the field (θ = 90°)."
Which principle explains the working of an electric transformer?,Photoelectric effect,Electrostatic attraction,Thermionic emission,Electromagnetic induction,"A transformer uses electromagnetic induction (Faraday's law) to change AC voltage. An alternating current in the primary coil creates a changing magnetic flux in the iron core, which induces an EMF in the secondary coil. The voltage ratio equals the turns ratio: V_s/V_p = N_s/N_p."
Snell's law describes:,Dispersion of light in a prism,Reflection of light from a mirror,Diffraction of light around edges,Refraction of light at an interface between two media,"Snell's law: n₁ sin θ₁ = n₂ sin θ₂, where n₁ and n₂ are refractive indices and θ₁, θ₂ are angles with the normal. It describes how light bends when passing between media of different optical density. It was discovered by Willebrord Snell in 1621."
Total internal reflection occurs when:,The refractive index equals zero,Light travels from a less dense to denser medium,The angle of incidence equals the angle of refraction,Light hits a less dense medium at an angle greater than the critical angle,"Total internal reflection (TIR) occurs when light in a denser medium strikes the boundary with a less dense medium at an angle ≥ critical angle. All light reflects back; none is transmitted. TIR is used in optical fibres, periscopes, and diamond cutting."
What is the focal length of a concave mirror?,One quarter of its radius of curvature,Equal to its radius of curvature,Double its radius of curvature,Half of its radius of curvature,"For a spherical concave mirror, f = R/2, where R is the radius of curvature. This is derived geometrically for paraxial rays (small angle approximation). The focal point is where parallel rays converge after reflection from the concave surface."
